"exp","id","sex","age","handedness","threshold","block","condition","instruction","axis","trial","motion","absmotion","iti","response","rt","accuracy","answer"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",1,-0.17499998,0.17499998,5.02127422940912,"left",1365,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",2,0.124999997019768,0.124999997019768,5.30455652940116,"right",1025,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",3,0.124999997019768,0.124999997019768,4.44626277270718,"left",1022,0,"MISS"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",4,0.224999997019768,0.224999997019768,5.08822066587787,"right",979,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",5,-0.224999997019768,0.224999997019768,5.07489067962047,"left",985,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",6,-0.17499998,0.17499998,4.98742605419992,"left",1269,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",7,-0.224999997019768,0.224999997019768,5.40407291679807,"left",986,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",8,-0.17499998,0.17499998,5.21573778178092,"right",793,0,"FA"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",9,0.0249999970197677,0.0249999970197677,5.32741756168177,"left",1084,0,"MISS"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",10,-0.0749999970197678,0.0749999970197678,4.28895875419124,"right",871,0,"FA"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",11,-0.124999997019768,0.124999997019768,5.26975487678223,"left",937,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",12,0.224999997019768,0.224999997019768,5.10002308331748,"right",798,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",13,0.0249999970197677,0.0249999970197677,5.27969218183489,"left",1043,0,"MISS"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",14,-0.224999997019768,0.224999997019768,4.82481298272531,"right",797,0,"FA"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",15,-0.0249999970197677,0.0249999970197677,5.44355547008471,"right",1187,0,"FA"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",16,-0.124999997019768,0.124999997019768,5.09641076909942,"left",758,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",17,-0.224999997019768,0.224999997019768,4.9975227603451,"right",656,0,"FA"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",18,-0.224999997019768,0.224999997019768,5.0106381244609,"left",827,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",19,-0.17499998,0.17499998,5.14896321089485,"left",874,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",20,0.224999997019768,0.224999997019768,5.21856158020427,"right",744,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",21,0.17499998,0.17499998,5.06575297732496,"left",747,0,"MISS"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",22,-0.0749999970197678,0.0749999970197678,5.09452971017482,"left",1054,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",23,-0.0249999970197677,0.0249999970197677,4.89042961555131,"left",3651,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",24,-0.124999997019768,0.124999997019768,5.21354577806273,"left",973,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",25,-0.17499998,0.17499998,4.8839048699742,"left",889,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",26,-0.0249999970197677,0.0249999970197677,5.19464443918828,"right",950,0,"FA"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7003","w","23","right100.0","Threshold: 0.175",1,"probability","left","yaw",27,-0.224999997019768,0.224999997019768,4.32387335273737,"left",774,1,"CR"
