"exp","id","sex","age","handedness","threshold","block","condition","instruction","axis","trial","motion_duration","motion","absmotion","iti","response","rt","accuracy","answer"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",1,1,0.725000011920929,0.725000011920929,5.26496521444041,"right",1469,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",2,1,0.625000011920929,0.625000011920929,4.69925821942064,"right",1599,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",3,1,-0.575000011920929,0.575000011920929,4.82252074295219,"left",3674,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",4,1,-0.525000011920929,0.525000011920929,4.94809821352209,"left",2052,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",5,1,0.725000011920929,0.725000011920929,4.97579361504254,"right",1714,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",6,1,-0.525000011920929,0.525000011920929,4.46261871608872,"right",4221,0,"FA"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",7,1,0.525000011920929,0.525000011920929,4.92032586829651,"right",1653,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",8,1,0.575000011920929,0.575000011920929,4.43420248521876,"right",1445,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",9,1,0.67499995,0.67499995,4.86628375770472,"right",1801,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",10,1,-0.625000011920929,0.625000011920929,5.03600947142386,"left",1846,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",11,1,0.625000011920929,0.625000011920929,5.12571401347304,"right",1232,1,"HIT"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",12,1,-0.67499995,0.67499995,5.35245092090736,"left",1394,1,"CR"
"/home/kwm/julia/Experimente/2021-Imagery/LogFiles/Imagery","7005","w","23","right100.0","Threshold: 0.675",1,"imagery","left","yaw",13,1,-0.67499995,0.67499995,5.5751786781282,"left",1365,1,"CR"
